CNTSCHID,CNTSTUID,ST001D01T,ST003D02T,ST003D03T,ST004D01T,ST250D06JA,ST250D07JA,PV1MATH,PV1READ,PV1SCIE
76400009,76407808,10,7,2006,1,7640001,7640001,496.993,492.671,509.192
76400009,76407841,10,1,2007,2,7640002,7640002,374.2,367.568,377.277
76400009,76408369,10,1,2007,1,7640002,7640002,338.296,295.428,358.317
76400009,76408984,10,4,2007,1,7640001,7640002,423.521,424.898,372.176
76400010,76404235,9,5,2007,2,7640001,7640002,380.988,334.421,339.288
76400010,76407862,9,11,2006,2,7640002,7640002,426.443,326.814,400.357
76400011,76400779,9,4,2007,1,7640001,7640002,412.922,467.691,435.003
76400011,76400986,9,3,2007,2,7640001,7640002,417.65,420.627,397.986
76400011,76403931,9,5,2007,2,7640001,7640002,380.972,385.782,455.069
76400011,76405702,9,5,2007,1,7640002,7640002,362.463,403.37,416.185
76400011,76407291,9,2,2007,1,7640001,7640002,330.599,290.538,332.549
76400011,76407782,9,2,2007,2,7640001,7640002,343.541,390.081,353.115
76400011,76409133,9,3,2007,1,7640001,7640002,324.79,327.912,356.854
76400012,76400755,10,4,2007,1,7640001,7640001,511.923,525.686,579.258
76400012,76400857,10,9,2006,1,7640001,7640002,539.885,585.799,557.396
76400012,76401228,10,9,2006,2,7640001,7640001,423.702,329.901,488.166
76400012,76401361,10,3,2007,2,7640001,7640001,370.612,320.515,426.153
76400012,76401655,10,5,2007,1,7640001,7640001,380.89,363.844,407.011
76400012,76401683,10,12,2006,1,7640001,7640002,453.938,444.118,491.754
76400012,76402316,10,9,2006,1,7640001,7640001,497.188,492.476,473.279
76400012,76402338,10,12,2006,1,7640001,7640002,593.09,553.339,589.863
76400012,76403342,10,4,2007,1,7640001,7640002,452.487,468.214,513.78
76400012,76403402,10,5,2007,1,7640001,7640002,521.158,497.342,534.913
76400012,76403408,10,10,2006,2,7640001,7640001,478.467,528.764,518.18
76400012,76403413,10,11,2006,1,7640002,7640002,557.698,491.938,522.391
76400012,76403799,10,9,2006,1,7640001,7640001,387.26,450.35,436.977
76400012,76403894,10,3,2007,1,7640001,7640001,617.166,618.468,594.441
76400012,76404118,10,9,2006,2,7640001,7640002,554.33,474.13,549.567
76400012,76404177,10,3,2007,2,7640001,7640002,479.682,400.734,430.939
76400012,76405161,10,2,2007,1,7640001,7640001,393.598,472.725,423.146
76400012,76405228,10,6,2006,2,7640001,7640001,586.65,471.463,511.42
76400012,76405230,10,3,2007,1,7640001,7640002,416.484,401.662,422.32
